tissue	gene	HPA_expr
rectum	TBCA	111.8
skin	TBCA	92.8
bone marrow	NEUROD2	0
colon	NEUROD2	0
lung	NEUROD2	0
pancreas	NEUROD2	0
rectum	NEUROD2	0
skin	NEUROD2	0
bone marrow	MAP6	0
colon	MAP6	3.2
lung	MAP6	10.9
pancreas	MAP6	0.7
rectum	MAP6	4
skin	MAP6	2.7
bone marrow	OTP	0
colon	OTP	0
lung	OTP	0.1
pancreas	OTP	0
rectum	OTP	0
skin	OTP	0
bone marrow	ECEL1	0
colon	ECEL1	0.1
lung	ECEL1	0
pancreas	ECEL1	0.1
rectum	ECEL1	0
skin	ECEL1	0.1
bone marrow	BCL2L1	75.3
colon	BCL2L1	40.9
lung	BCL2L1	86.1
pancreas	BCL2L1	10.8
rectum	BCL2L1	41.1
skin	BCL2L1	35.6
bone marrow	FGG	0
colon	FGG	0.1
lung	FGG	75.7
pancreas	FGG	0.1
rectum	FGG	0
skin	FGG	0.2
bone marrow	FGA	0
colon	FGA	0.1
lung	FGA	6.4
pancreas	FGA	1.5
rectum	FGA	0
skin	FGA	0
bone marrow	OR2AT4	0
colon	OR2AT4	0
lung	OR2AT4	0
pancreas	OR2AT4	0
rectum	OR2AT4	0
skin	OR2AT4	0
bone marrow	FGB	0
colon	FGB	0.1
lung	FGB	0
pancreas	FGB	0
rectum	FGB	0
skin	FGB	0.1
bone marrow	PLRG1	20.1
colon	PLRG1	30.9
lung	PLRG1	40.6
pancreas	PLRG1	4.1
rectum	PLRG1	38.1
skin	PLRG1	31.2
bone marrow	ZNF584	1
colon	ZNF584	3.1
lung	ZNF584	5.5
pancreas	ZNF584	0.8
rectum	ZNF584	2.6
skin	ZNF584	5.9
bone marrow	DSCAM	0
colon	DSCAM	0
lung	DSCAM	0
pancreas	DSCAM	0
rectum	DSCAM	0
skin	DSCAM	0
bone marrow	DNAI2	0
colon	DNAI2	0
lung	DNAI2	4.6
pancreas	DNAI2	0
rectum	DNAI2	0
skin	DNAI2	0
bone marrow	NMUR1	1.6
colon	NMUR1	1
lung	NMUR1	4.6
pancreas	NMUR1	0.8
rectum	NMUR1	0.9
skin	NMUR1	0.5
bone marrow	CLSTN1	8.4
colon	CLSTN1	68
lung	CLSTN1	56.3
pancreas	CLSTN1	15.6
rectum	CLSTN1	65.9
skin	CLSTN1	130.1
bone marrow	CXXC5	29.3
colon	CXXC5	18.2
lung	CXXC5	24
pancreas	CXXC5	8.3
rectum	CXXC5	15
skin	CXXC5	19.7
bone marrow	ZNF274	8.6
colon	ZNF274	8.4
lung	ZNF274	20.2
pancreas	ZNF274	1.5
rectum	ZNF274	8.5
skin	ZNF274	18
bone marrow	PIK3CD	40.9
colon	PIK3CD	3.6
lung	PIK3CD	13.2
pancreas	PIK3CD	0.6
rectum	PIK3CD	3.9
skin	PIK3CD	3.7
bone marrow	PTCRA	1
colon	PTCRA	0.2
lung	PTCRA	2.1
pancreas	PTCRA	0
rectum	PTCRA	0.1
skin	PTCRA	0
bone marrow	SLC25A33	5.7
colon	SLC25A33	4.6
lung	SLC25A33	3.7
pancreas	SLC25A33	0.7
rectum	SLC25A33	4.1
skin	SLC25A33	1.4
bone marrow	ENC1	10.3
colon	ENC1	13.4
lung	ENC1	18.3
pancreas	ENC1	7
rectum	ENC1	23
skin	ENC1	3.1
bone marrow	SPSB1	0.9
colon	SPSB1	12.7
lung	SPSB1	12.1
pancreas	SPSB1	6.4
rectum	SPSB1	9.5
skin	SPSB1	16.9
bone marrow	P2RY6	0.4
colon	P2RY6	1.8
lung	P2RY6	2.2
pancreas	P2RY6	0.1
rectum	P2RY6	2.1
skin	P2RY6	0.8
bone marrow	BPTF	21.1
colon	BPTF	23.7
lung	BPTF	32.5
pancreas	BPTF	4.8
rectum	BPTF	28
skin	BPTF	50.2
bone marrow	S100Z	1.6
colon	S100Z	0.3
lung	S100Z	0.9
pancreas	S100Z	0.2
rectum	S100Z	0.5
skin	S100Z	0.1
bone marrow	ZIK1	2.8
colon	ZIK1	1.3
lung	ZIK1	3.8
pancreas	ZIK1	0.2
rectum	ZIK1	1.6
skin	ZIK1	2.6
bone marrow	GPR82	0.1
colon	GPR82	1
lung	GPR82	0.4
pancreas	GPR82	0
rectum	GPR82	1.3
skin	GPR82	0.5
bone marrow	GPR34	0.5
colon	GPR34	11.5
lung	GPR34	16
pancreas	GPR34	1.1
rectum	GPR34	14.4
skin	GPR34	1.1
bone marrow	PLEKHG5	0.4
colon	PLEKHG5	4.1
lung	PLEKHG5	6.1
pancreas	PLEKHG5	0.8
rectum	PLEKHG5	4
skin	PLEKHG5	110.9
bone marrow	ATF7IP	20.7
colon	ATF7IP	11.2
lung	ATF7IP	20.4
pancreas	ATF7IP	2.3
rectum	ATF7IP	14.9
skin	ATF7IP	20.4
bone marrow	LKAAEAR1	0
colon	LKAAEAR1	0
lung	LKAAEAR1	0
pancreas	LKAAEAR1	0
rectum	LKAAEAR1	0
skin	LKAAEAR1	0
bone marrow	RGS19	38
colon	RGS19	3.9
lung	RGS19	17.4
pancreas	RGS19	0.9
rectum	RGS19	2.4
skin	RGS19	7
bone marrow	TCEA2	5.2
colon	TCEA2	5.5
lung	TCEA2	18.4
pancreas	TCEA2	3.8
rectum	TCEA2	3.3
skin	TCEA2	13.9
bone marrow	DEFB4A	0
colon	DEFB4A	0
lung	DEFB4A	0.4
pancreas	DEFB4A	0
rectum	DEFB4A	0
skin	DEFB4A	0
bone marrow	ANO5	0
colon	ANO5	2.5
lung	ANO5	2.3
pancreas	ANO5	0.8
rectum	ANO5	3.8
skin	ANO5	0.1
bone marrow	HDAC3	21.9
colon	HDAC3	22.3
lung	HDAC3	30.7
pancreas	HDAC3	5.8
rectum	HDAC3	25.6
skin	HDAC3	37.5
bone marrow	SPATA46	0
colon	SPATA46	0
lung	SPATA46	0
pancreas	SPATA46	0
rectum	SPATA46	0
skin	SPATA46	0.3
bone marrow	GPHN	1.7
colon	GPHN	11
lung	GPHN	6.4
pancreas	GPHN	2.9
rectum	GPHN	8.2
skin	GPHN	7.2
bone marrow	VAT1L	0.6
colon	VAT1L	3.5
lung	VAT1L	0.4
pancreas	VAT1L	0.3
rectum	VAT1L	6.2
skin	VAT1L	0
bone marrow	TMEM51	0.5
colon	TMEM51	13.2
lung	TMEM51	13.6
pancreas	TMEM51	7.4
rectum	TMEM51	11.8
skin	TMEM51	8.5
bone marrow	CAMTA1	16.1
colon	CAMTA1	48.9
lung	CAMTA1	36.9
pancreas	CAMTA1	4.1
rectum	CAMTA1	53.8
skin	CAMTA1	28.2
bone marrow	LGALS4	0.2
colon	LGALS4	736
lung	LGALS4	1.2
pancreas	LGALS4	3.6
rectum	LGALS4	640.3
skin	LGALS4	0.4
bone marrow	LRRC34	0.9
colon	LRRC34	0.2
lung	LRRC34	1.6
pancreas	LRRC34	0
rectum	LRRC34	0.1
skin	LRRC34	0.3
bone marrow	PAH	0
colon	PAH	0.3
lung	PAH	0
pancreas	PAH	1.7
rectum	PAH	0
skin	PAH	0
bone marrow	SPATA5L1	4
colon	SPATA5L1	4.9
lung	SPATA5L1	4.3
pancreas	SPATA5L1	0.7
rectum	SPATA5L1	5.3
skin	SPATA5L1	5.3
bone marrow	GATM	1.2
colon	GATM	16.6
lung	GATM	10.8
pancreas	GATM	573.9
rectum	GATM	13.4
skin	GATM	159.4
bone marrow	SYCE1	0
colon	SYCE1	0.2
lung	SYCE1	0.4
pancreas	SYCE1	0.1
rectum	SYCE1	0.5
skin	SYCE1	0.1
bone marrow	NXNL1	0.1
colon	NXNL1	0.1
lung	NXNL1	0.2
pancreas	NXNL1	0
rectum	NXNL1	0.1
skin	NXNL1	1
bone marrow	RASGRP4	13.1
colon	RASGRP4	1.1
lung	RASGRP4	4.7
pancreas	RASGRP4	0.2
rectum	RASGRP4	0.9
skin	RASGRP4	0.6
bone marrow	NHLH1	0
colon	NHLH1	0
lung	NHLH1	0
pancreas	NHLH1	0
rectum	NHLH1	0
skin	NHLH1	0.8
bone marrow	SLFNL1	0.3
colon	SLFNL1	0
lung	SLFNL1	3
pancreas	SLFNL1	0
rectum	SLFNL1	0
skin	SLFNL1	0.3
bone marrow	BCL2	4.4
colon	BCL2	7
lung	BCL2	5.9
pancreas	BCL2	0.6
rectum	BCL2	7.2
skin	BCL2	7.6
bone marrow	RHNO1	10.9
colon	RHNO1	14.1
lung	RHNO1	14
pancreas	RHNO1	1.5
rectum	RHNO1	16.4
skin	RHNO1	16.4
bone marrow	CTPS1	11
colon	CTPS1	9.5
lung	CTPS1	12.9
pancreas	CTPS1	1.2
rectum	CTPS1	16.1
skin	CTPS1	7.4
bone marrow	UTF1	0
colon	UTF1	0
lung	UTF1	0
pancreas	UTF1	0
rectum	UTF1	0
skin	UTF1	0
bone marrow	KNDC1	0
colon	KNDC1	0
lung	KNDC1	2.3
pancreas	KNDC1	0.1
rectum	KNDC1	0
skin	KNDC1	0.1
bone marrow	WDR87	0
colon	WDR87	0
lung	WDR87	0
pancreas	WDR87	0
rectum	WDR87	0
skin	WDR87	0
bone marrow	METTL18	2.4
colon	METTL18	6.2
lung	METTL18	8
pancreas	METTL18	0.5
rectum	METTL18	6.6
skin	METTL18	7
bone marrow	CFAP46	0
colon	CFAP46	0
lung	CFAP46	2.2
pancreas	CFAP46	0
rectum	CFAP46	0
skin	CFAP46	0
bone marrow	COL8A2	0.3
colon	COL8A2	2.2
lung	COL8A2	6.8
pancreas	COL8A2	0.1
rectum	COL8A2	2.2
skin	COL8A2	4.9
bone marrow	PWWP2B	1.5
colon	PWWP2B	7.5
lung	PWWP2B	6
pancreas	PWWP2B	3.4
rectum	PWWP2B	2.4
skin	PWWP2B	5.3
bone marrow	PCDHB1	0.3
colon	PCDHB1	0.1
lung	PCDHB1	0.2
pancreas	PCDHB1	0
rectum	PCDHB1	0
skin	PCDHB1	0.4
bone marrow	ZNF540	0.4
colon	ZNF540	1.3
lung	ZNF540	4
pancreas	ZNF540	0.4
rectum	ZNF540	2
skin	ZNF540	3.8
bone marrow	ANGPTL7	0
colon	ANGPTL7	1.8
lung	ANGPTL7	2
pancreas	ANGPTL7	0
rectum	ANGPTL7	1.6
skin	ANGPTL7	0.5
bone marrow	FBXL14	4.3
colon	FBXL14	9.3
lung	FBXL14	7.5
pancreas	FBXL14	2.9
rectum	FBXL14	4.5
skin	FBXL14	3.5
bone marrow	EXOSC10	24.6
colon	EXOSC10	23
lung	EXOSC10	33.8
pancreas	EXOSC10	5
rectum	EXOSC10	30.3
skin	EXOSC10	43.6
bone marrow	ZNF570	1.3
colon	ZNF570	1.3
lung	ZNF570	3
pancreas	ZNF570	0.3
rectum	ZNF570	1.3
skin	ZNF570	2.1
bone marrow	NINJ2	23.9
colon	NINJ2	5.6
lung	NINJ2	55.6
pancreas	NINJ2	0.4
rectum	NINJ2	5.3
skin	NINJ2	6.1
bone marrow	MLLT3	15.8
colon	MLLT3	23.2
lung	MLLT3	17.7
pancreas	MLLT3	0.8
rectum	MLLT3	26.9
skin	MLLT3	7.6
bone marrow	FAM90A1	0.3
colon	FAM90A1	0.4
lung	FAM90A1	2.1
pancreas	FAM90A1	0.2
rectum	FAM90A1	0.1
skin	FAM90A1	2.4
bone marrow	RRM2	47.5
colon	RRM2	16.5
lung	RRM2	3.2
pancreas	RRM2	0.2
rectum	RRM2	25.7
skin	RRM2	8.5
bone marrow	TRAPPC12	6.8
colon	TRAPPC12	9.9
lung	TRAPPC12	16.2
pancreas	TRAPPC12	1.3
rectum	TRAPPC12	5.2
skin	TRAPPC12	33.2
bone marrow	IFNB1	0.3
colon	IFNB1	0
lung	IFNB1	0
pancreas	IFNB1	0
rectum	IFNB1	0
skin	IFNB1	0
bone marrow	RPS21	1506.2
colon	RPS21	1008.1
lung	RPS21	768.4
pancreas	RPS21	293
rectum	RPS21	712.2
skin	RPS21	1066.2
bone marrow	C3AR1	22
colon	C3AR1	10.2
lung	C3AR1	39.3
pancreas	C3AR1	2
rectum	C3AR1	11.9
skin	C3AR1	0.8
bone marrow	MRM3	10.4
colon	MRM3	7.4
lung	MRM3	6.9
pancreas	MRM3	3.9
rectum	MRM3	8.2
skin	MRM3	11.6
bone marrow	PTEN	20.7
colon	PTEN	31.3
lung	PTEN	35.1
pancreas	PTEN	5.7
rectum	PTEN	30.6
skin	PTEN	24.1
bone marrow	RPS7	1189.3
colon	RPS7	901.5
lung	RPS7	793.9
pancreas	RPS7	305.6
rectum	RPS7	1149.1
skin	RPS7	1312
bone marrow	PRND	0.1
colon	PRND	0.2
lung	PRND	0.2
pancreas	PRND	0
rectum	PRND	0.5
skin	PRND	0.3
bone marrow	RNASEH1	5.1
colon	RNASEH1	5.9
lung	RNASEH1	7.2
pancreas	RNASEH1	1.4
rectum	RNASEH1	6.5
skin	RNASEH1	3
bone marrow	PRNP	48.8
colon	PRNP	64.9
lung	PRNP	112.9
pancreas	PRNP	8.3
rectum	PRNP	75.5
skin	PRNP	108.3
bone marrow	KLF17	0
colon	KLF17	0
lung	KLF17	0.4
pancreas	KLF17	0
rectum	KLF17	0.1
skin	KLF17	0.1
bone marrow	ADRA1D	0
colon	ADRA1D	0.3
lung	ADRA1D	0.9
pancreas	ADRA1D	0
rectum	ADRA1D	0.2
skin	ADRA1D	0
bone marrow	FRMD5	0.5
colon	FRMD5	0.7
lung	FRMD5	0.2
pancreas	FRMD5	0
rectum	FRMD5	0.9
skin	FRMD5	0.4
bone marrow	AQP4	0
colon	AQP4	0.1
lung	AQP4	171.9
pancreas	AQP4	0
rectum	AQP4	0
skin	AQP4	0
bone marrow	CYP4F11	0.4
colon	CYP4F11	3.5
lung	CYP4F11	0.4
pancreas	CYP4F11	1
rectum	CYP4F11	2.8
skin	CYP4F11	1.1
bone marrow	TLN2	2.3
colon	TLN2	9.3
lung	TLN2	2.3
pancreas	TLN2	0.9
rectum	TLN2	8
skin	TLN2	1.7
bone marrow	LGALS9C	0
colon	LGALS9C	2.7
lung	LGALS9C	0.2
pancreas	LGALS9C	0
rectum	LGALS9C	5
skin	LGALS9C	0
bone marrow	TVP23B	12.9
colon	TVP23B	25.5
lung	TVP23B	31.1
pancreas	TVP23B	7
rectum	TVP23B	34.3
skin	TVP23B	22.2
bone marrow	FBXW10	0
colon	FBXW10	0
lung	FBXW10	0.2
pancreas	FBXW10	0
rectum	FBXW10	0
skin	FBXW10	0.1
bone marrow	OR10H3	0
colon	OR10H3	0
lung	OR10H3	0
pancreas	OR10H3	0
rectum	OR10H3	0
skin	OR10H3	0
bone marrow	ZNF217	20.1
colon	ZNF217	17.9
lung	ZNF217	18.2
pancreas	ZNF217	2.1
rectum	ZNF217	19.3
skin	ZNF217	16.5
bone marrow	OR10H2	0
colon	OR10H2	0
lung	OR10H2	0
pancreas	OR10H2	0
rectum	OR10H2	0
skin	OR10H2	0
bone marrow	SRGAP2C	4.4
colon	SRGAP2C	2.4
lung	SRGAP2C	9.5
pancreas	SRGAP2C	0.4
rectum	SRGAP2C	3.1
skin	SRGAP2C	18.1
bone marrow	OR52A5	0.1
colon	OR52A5	0
lung	OR52A5	0
pancreas	OR52A5	0
rectum	OR52A5	0
skin	OR52A5	0
bone marrow	SCG2	0.2
colon	SCG2	9.9
lung	SCG2	4.6
pancreas	SCG2	5.6
rectum	SCG2	13.6
skin	SCG2	0.7
bone marrow	ATPAF2	10.1
colon	ATPAF2	11
lung	ATPAF2	11.1
pancreas	ATPAF2	2
rectum	ATPAF2	11.5
skin	ATPAF2	10.8
bone marrow	CYP4F22	0
colon	CYP4F22	0
lung	CYP4F22	0.5
pancreas	CYP4F22	0
rectum	CYP4F22	0
skin	CYP4F22	34.3
bone marrow	FOXB1	0
colon	FOXB1	0
lung	FOXB1	0
pancreas	FOXB1	0
rectum	FOXB1	0
skin	FOXB1	0
bone marrow	PPIH	43.7
colon	PPIH	35.5
lung	PPIH	31.9
pancreas	PPIH	4.5
rectum	PPIH	41.7
skin	PPIH	36.8
bone marrow	DRC3	0
colon	DRC3	0.6
lung	DRC3	8.2
pancreas	DRC3	0.8
rectum	DRC3	0.6
skin	DRC3	1.4
bone marrow	ZNF57	2.6
colon	ZNF57	8
lung	ZNF57	5
pancreas	ZNF57	0.8
rectum	ZNF57	10
skin	ZNF57	11.5
bone marrow	C20orf196	10.8
colon	C20orf196	5.8
lung	C20orf196	8.3
pancreas	C20orf196	0.9
rectum	C20orf196	6.5
skin	C20orf196	4.8
bone marrow	C11orf40	0
colon	C11orf40	0
lung	C11orf40	0
pancreas	C11orf40	0
rectum	C11orf40	0
skin	C11orf40	0
bone marrow	JMJD1C	25.7
colon	JMJD1C	11.2
lung	JMJD1C	24
pancreas	JMJD1C	2.7
rectum	JMJD1C	13.6
skin	JMJD1C	13.2
bone marrow	LDHAL6B	0
colon	LDHAL6B	0.1
lung	LDHAL6B	0
pancreas	LDHAL6B	0
rectum	LDHAL6B	0
skin	LDHAL6B	0.2
bone marrow	SYNPO	0.2
colon	SYNPO	25.7
lung	SYNPO	79.4
pancreas	SYNPO	6.8
rectum	SYNPO	19.2
skin	SYNPO	7.6
bone marrow	ZNF556	0.4
colon	ZNF556	0
lung	ZNF556	0.2
pancreas	ZNF556	0.1
rectum	ZNF556	0.1
skin	ZNF556	0.5
bone marrow	MAL	7.7
colon	MAL	6.8
lung	MAL	20.6
pancreas	MAL	0.3
rectum	MAL	7.1
skin	MAL	13
bone marrow	ZNF554	0.3
colon	ZNF554	1.4
lung	ZNF554	1.7
pancreas	ZNF554	0.3
rectum	ZNF554	1.4
skin	ZNF554	2.9
bone marrow	RAB33B	6.8
colon	RAB33B	3.5
lung	RAB33B	8.7
pancreas	RAB33B	1.8
rectum	RAB33B	3.8
skin	RAB33B	5
bone marrow	THOP1	12.2
colon	THOP1	10.6
lung	THOP1	8
pancreas	THOP1	1.4
rectum	THOP1	7.6
skin	THOP1	12.7
bone marrow	ANKRD20A4	0.8
colon	ANKRD20A4	0.3
lung	ANKRD20A4	0.5
pancreas	ANKRD20A4	0.1
rectum	ANKRD20A4	0.5
skin	ANKRD20A4	0.2
bone marrow	REG3A	0.1
colon	REG3A	5.6
lung	REG3A	0.2
pancreas	REG3A	20.7
rectum	REG3A	0.1
skin	REG3A	0.5
bone marrow	GAP43	0
colon	GAP43	4.5
lung	GAP43	0.2
pancreas	GAP43	0.1
rectum	GAP43	4.6
skin	GAP43	0
bone marrow	REG1B	6.7
colon	REG1B	2.2
lung	REG1B	0.3
pancreas	REG1B	181.6
rectum	REG1B	118.7
skin	REG1B	19.8
bone marrow	EPHX4	0
colon	EPHX4	0.3
lung	EPHX4	0.9
pancreas	EPHX4	0
rectum	EPHX4	0.5
skin	EPHX4	0
bone marrow	LAMB2	1.6
colon	LAMB2	20
lung	LAMB2	77.6
pancreas	LAMB2	7.1
rectum	LAMB2	20.2
skin	LAMB2	48.3
bone marrow	USP19	16
colon	USP19	16.7
lung	USP19	24.3
pancreas	USP19	4.1
rectum	USP19	15.7
skin	USP19	29.7
bone marrow	QARS	50
colon	QARS	90.8
lung	QARS	68.6
pancreas	QARS	10.4
rectum	QARS	117
skin	QARS	108.7
bone marrow	ORMDL3	24.7
colon	ORMDL3	41.4
lung	ORMDL3	73.3
pancreas	ORMDL3	23.1
rectum	ORMDL3	42.3
skin	ORMDL3	39.3
bone marrow	SERF1A	2.2
colon	SERF1A	1.9
lung	SERF1A	3.3
pancreas	SERF1A	0.5
rectum	SERF1A	3.7
skin	SERF1A	3.4
bone marrow	KLF11	16.7
colon	KLF11	9.4
lung	KLF11	33.9
pancreas	KLF11	11.4
rectum	KLF11	10.2
skin	KLF11	22.8
bone marrow	LRRC15	0
colon	LRRC15	1.7
lung	LRRC15	3
pancreas	LRRC15	0
rectum	LRRC15	3.3
skin	LRRC15	2.6
bone marrow	SMN1	14.3
colon	SMN1	1.7
lung	SMN1	4.3
pancreas	SMN1	0.3
rectum	SMN1	5.1
skin	SMN1	5.6
bone marrow	EIF2AK3	18
colon	EIF2AK3	14.3
lung	EIF2AK3	14.4
pancreas	EIF2AK3	8.6
rectum	EIF2AK3	18
skin	EIF2AK3	8.3
bone marrow	TEX37	0
colon	TEX37	0
lung	TEX37	0
pancreas	TEX37	0
rectum	TEX37	0
skin	TEX37	0
bone marrow	MOB3A	33.9
colon	MOB3A	17.9
lung	MOB3A	31.1
pancreas	MOB3A	2.8
rectum	MOB3A	16.5
skin	MOB3A	22.7
bone marrow	KRCC1	6.8
colon	KRCC1	47.3
lung	KRCC1	34
pancreas	KRCC1	6.2
rectum	KRCC1	49.9
skin	KRCC1	31.7
bone marrow	NME6	5.6
colon	NME6	12.3
lung	NME6	16.8
pancreas	NME6	3.2
rectum	NME6	14.4
skin	NME6	11.4
bone marrow	CYCS	51.8
colon	CYCS	261.2
lung	CYCS	67.4
pancreas	CYCS	8.1
rectum	CYCS	261.7
skin	CYCS	37.7
bone marrow	CD8B	6.5
colon	CD8B	2.4
lung	CD8B	7.2
pancreas	CD8B	0.2
rectum	CD8B	4.2
skin	CD8B	1
bone marrow	SLFN12	1.5
colon	SLFN12	2.7
lung	SLFN12	10.7
pancreas	SLFN12	0.4
rectum	SLFN12	3.7
skin	SLFN12	2.5
bone marrow	CALB2	0
colon	CALB2	7.6
lung	CALB2	1.8
pancreas	CALB2	0.1
rectum	CALB2	5.2
skin	CALB2	0.1
bone marrow	SLC9C1	0
colon	SLC9C1	0
lung	SLC9C1	0.1
pancreas	SLC9C1	0
rectum	SLC9C1	0.1
skin	SLC9C1	2.9
bone marrow	OR1A1	0
colon	OR1A1	0
lung	OR1A1	0
pancreas	OR1A1	0
rectum	OR1A1	0
skin	OR1A1	0
bone marrow	OR1A2	0
colon	OR1A2	0
lung	OR1A2	0
pancreas	OR1A2	0
rectum	OR1A2	0
skin	OR1A2	0
bone marrow	OR8I2	0
colon	OR8I2	0
lung	OR8I2	0
pancreas	OR8I2	0
rectum	OR8I2	0
skin	OR8I2	0
bone marrow	LCE1D	0
colon	LCE1D	0
lung	LCE1D	0
pancreas	LCE1D	0
rectum	LCE1D	0
skin	LCE1D	101.7
bone marrow	CCL11	0
colon	CCL11	21
lung	CCL11	3.6
pancreas	CCL11	0.1
rectum	CCL11	15.3
skin	CCL11	0
bone marrow	FRMD3	3.4
colon	FRMD3	5.5
lung	FRMD3	6.1
pancreas	FRMD3	0.3
rectum	FRMD3	7.2
skin	FRMD3	1.4
bone marrow	SNTB1	12.9
colon	SNTB1	6
lung	SNTB1	23.2
pancreas	SNTB1	10
rectum	SNTB1	7.2
skin	SNTB1	8.4
bone marrow	MTBP	2.5
colon	MTBP	1.7
lung	MTBP	1.9
pancreas	MTBP	0.1
rectum	MTBP	2.9
skin	MTBP	3.5
bone marrow	TEFM	0.9
colon	TEFM	2.7
lung	TEFM	3.1
pancreas	TEFM	0.3
rectum	TEFM	3.8
skin	TEFM	3.5
bone marrow	MRPL13	15
colon	MRPL13	41.7
lung	MRPL13	25.7
pancreas	MRPL13	3.4
rectum	MRPL13	47.3
skin	MRPL13	17.9
bone marrow	MALT1	9
colon	MALT1	7.5
lung	MALT1	12.6
pancreas	MALT1	1.2
rectum	MALT1	10.3
skin	MALT1	13.2
bone marrow	PRL	0
colon	PRL	0
lung	PRL	0
pancreas	PRL	0
rectum	PRL	0
skin	PRL	0
bone marrow	ISG20	27.5
colon	ISG20	28.9
lung	ISG20	33.5
pancreas	ISG20	0.8
rectum	ISG20	10.3
skin	ISG20	4.8
bone marrow	OR4C11	0
colon	OR4C11	0
lung	OR4C11	0
pancreas	OR4C11	0
rectum	OR4C11	0
skin	OR4C11	0
bone marrow	MBOAT1	9.5
colon	MBOAT1	26.1
lung	MBOAT1	16.2
pancreas	MBOAT1	1.3
rectum	MBOAT1	32.6
skin	MBOAT1	10.7
bone marrow	OR8U1	0
colon	OR8U1	0
lung	OR8U1	0
pancreas	OR8U1	0
rectum	OR8U1	0
skin	OR8U1	0
bone marrow	ID4	0.2
colon	ID4	10.3
lung	ID4	50.8
pancreas	ID4	5.7
rectum	ID4	9.4
skin	ID4	54.2
bone marrow	GPR22	0
colon	GPR22	0
lung	GPR22	0
pancreas	GPR22	0
rectum	GPR22	0
skin	GPR22	0
bone marrow	CXCR6	0.9
colon	CXCR6	4
lung	CXCR6	5.9
pancreas	CXCR6	0.3
rectum	CXCR6	4.2
skin	CXCR6	0.8
bone marrow	CEBPB	24.6
colon	CEBPB	13.8
lung	CEBPB	45.8
pancreas	CEBPB	6.2
rectum	CEBPB	7.4
skin	CEBPB	29
bone marrow	AZU1	1311.2
colon	AZU1	0
lung	AZU1	0.5
pancreas	AZU1	0
rectum	AZU1	0
skin	AZU1	2.4
bone marrow	TPSAB1	1.9
colon	TPSAB1	72.1
lung	TPSAB1	158.5
pancreas	TPSAB1	2.9
rectum	TPSAB1	45.7
skin	TPSAB1	32.1
bone marrow	ATOH1	0
colon	ATOH1	17.6
lung	ATOH1	0
pancreas	ATOH1	0
rectum	ATOH1	19.7
skin	ATOH1	0.1
bone marrow	PAIP1	35.2
colon	PAIP1	53.8
lung	PAIP1	74.9
pancreas	PAIP1	11.6
rectum	PAIP1	60.5
skin	PAIP1	35.8
bone marrow	CLEC7A	53.3
colon	CLEC7A	7.3
lung	CLEC7A	42.5
pancreas	CLEC7A	0.4
rectum	CLEC7A	8.7
skin	CLEC7A	4.6
bone marrow	C5orf34	0.7
colon	C5orf34	1
lung	C5orf34	0.7
pancreas	C5orf34	0
rectum	C5orf34	1.4
skin	C5orf34	1.6
bone marrow	C1QTNF4	1.4
colon	C1QTNF4	0.1
lung	C1QTNF4	0.1
pancreas	C1QTNF4	0.1
rectum	C1QTNF4	0
skin	C1QTNF4	0.1
bone marrow	NEGR1	0.9
colon	NEGR1	7.3
lung	NEGR1	6
pancreas	NEGR1	0.9
rectum	NEGR1	8.7
skin	NEGR1	3.3
bone marrow	ZNF131	17.6
colon	ZNF131	13
lung	ZNF131	17.2
pancreas	ZNF131	2.5
rectum	ZNF131	14.6
skin	ZNF131	21.6
bone marrow	MACROD2	1
colon	MACROD2	1.4
lung	MACROD2	16.2
pancreas	MACROD2	0.5
rectum	MACROD2	1.5
skin	MACROD2	3.2
bone marrow	DPAGT1	3.6
colon	DPAGT1	10
lung	DPAGT1	9.4
pancreas	DPAGT1	3.7
rectum	DPAGT1	10.8
skin	DPAGT1	6.2
bone marrow	BSG	285.3
colon	BSG	409.4
lung	BSG	242.8
pancreas	BSG	60.9
rectum	BSG	187.3
skin	BSG	171.4
bone marrow	HINFP	3.2
colon	HINFP	5.7
lung	HINFP	6.7
pancreas	HINFP	1
rectum	HINFP	7.8
skin	HINFP	8.4
bone marrow	CDY1	0
colon	CDY1	0
lung	CDY1	0
pancreas	CDY1	0
rectum	CDY1	0
skin	CDY1	0
bone marrow	OR10V1	0
colon	OR10V1	0
lung	OR10V1	0
pancreas	OR10V1	0
rectum	OR10V1	0
skin	OR10V1	0
bone marrow	CERS6	7.5
colon	CERS6	27
lung	CERS6	10.9
pancreas	CERS6	1.5
rectum	CERS6	32
skin	CERS6	22.1
bone marrow	SPTLC3	0.4
colon	SPTLC3	6
lung	SPTLC3	11.6
pancreas	SPTLC3	1.1
rectum	SPTLC3	8.2
skin	SPTLC3	30.3
bone marrow	COPRS	7.8
colon	COPRS	22.8
lung	COPRS	33
pancreas	COPRS	5.8
rectum	COPRS	25.9
skin	COPRS	16
bone marrow	TP53RK	3.7
colon	TP53RK	6.3
lung	TP53RK	8.4
pancreas	TP53RK	1.1
rectum	TP53RK	6.5
skin	TP53RK	8.2
bone marrow	B3GALT1	0.1
colon	B3GALT1	3.7
lung	B3GALT1	0.1
pancreas	B3GALT1	0
rectum	B3GALT1	4
skin	B3GALT1	0.2
bone marrow	OR5A1	0
colon	OR5A1	0
lung	OR5A1	0
