tissue	gene	HPA_expr
bone marrow	SLC25A5	167.6
colon	SLC25A5	468.1
lung	SLC25A5	207.2
pancreas	SLC25A5	121.3
rectum	SLC25A5	569.4
skin	SLC25A5	213.5
bone marrow	MCUB	6.4
colon	MCUB	5.1
lung	MCUB	10.5
pancreas	MCUB	0.2
rectum	MCUB	6.9
skin	MCUB	6.8
bone marrow	HOXA11	0
colon	HOXA11	6.1
lung	HOXA11	0
pancreas	HOXA11	0
rectum	HOXA11	4.5
skin	HOXA11	0.2
bone marrow	POLR2J	56.2
colon	POLR2J	42.8
lung	POLR2J	43.6
pancreas	POLR2J	12.1
rectum	POLR2J	36.9
skin	POLR2J	47.3
bone marrow	DHX33	2.8
colon	DHX33	4.4
lung	DHX33	6.4
pancreas	DHX33	1.3
rectum	DHX33	6.2
skin	DHX33	8.1
bone marrow	MEOX1	0
colon	MEOX1	2.8
lung	MEOX1	2.3
pancreas	MEOX1	0
rectum	MEOX1	2.9
skin	MEOX1	6.2
bone marrow	THSD7A	0
colon	THSD7A	0.7
lung	THSD7A	1.7
pancreas	THSD7A	0
rectum	THSD7A	0.8
skin	THSD7A	0.6
bone marrow	LIG3	4.7
colon	LIG3	8.1
lung	LIG3	7.8
pancreas	LIG3	1.8
rectum	LIG3	9.9
skin	LIG3	9.6
bone marrow	RPAP3	8.2
colon	RPAP3	11.4
lung	RPAP3	15.3
pancreas	RPAP3	1.8
rectum	RPAP3	14.1
skin	RPAP3	13.3
bone marrow	ACSM3	10.1
colon	ACSM3	26.8
lung	ACSM3	12.2
pancreas	ACSM3	6.5
rectum	ACSM3	29
skin	ACSM3	5
bone marrow	AC004381.6	7.1
colon	AC004381.6	2
lung	AC004381.6	1.5
pancreas	AC004381.6	0.3
rectum	AC004381.6	3.4
skin	AC004381.6	2.7
bone marrow	CIAPIN1	12.8
colon	CIAPIN1	29.6
lung	CIAPIN1	27.3
pancreas	CIAPIN1	3.2
rectum	CIAPIN1	28.1
skin	CIAPIN1	27.6
bone marrow	SPPL2B	18.7
colon	SPPL2B	19.4
lung	SPPL2B	13
pancreas	SPPL2B	6.3
rectum	SPPL2B	10.1
skin	SPPL2B	23.3
bone marrow	FAM214B	24.5
colon	FAM214B	11.4
lung	FAM214B	17.7
pancreas	FAM214B	1.1
rectum	FAM214B	11.5
skin	FAM214B	12.3
bone marrow	COPZ2	0.6
colon	COPZ2	12.2
lung	COPZ2	19.7
pancreas	COPZ2	4.2
rectum	COPZ2	16.5
skin	COPZ2	41.1
bone marrow	PRKAR2B	8.3
colon	PRKAR2B	6.6
lung	PRKAR2B	4.7
pancreas	PRKAR2B	1.8
rectum	PRKAR2B	7.5
skin	PRKAR2B	1.4
bone marrow	MSL3	20
colon	MSL3	11.9
lung	MSL3	24.1
pancreas	MSL3	1.6
rectum	MSL3	16.2
skin	MSL3	23.7
bone marrow	CREBBP	34.1
colon	CREBBP	13.9
lung	CREBBP	23.8
pancreas	CREBBP	6.2
rectum	CREBBP	15.5
skin	CREBBP	23.4
bone marrow	TSPOAP1	30.9
colon	TSPOAP1	6.3
lung	TSPOAP1	20.1
pancreas	TSPOAP1	3.8
rectum	TSPOAP1	5.8
skin	TSPOAP1	9.8
bone marrow	MPO	2499.6
colon	MPO	0.1
lung	MPO	0.5
pancreas	MPO	0
rectum	MPO	0.2
skin	MPO	5.1
bone marrow	PON1	0
colon	PON1	0.1
lung	PON1	0.1
pancreas	PON1	0
rectum	PON1	0
skin	PON1	0.1
bone marrow	GCFC2	4.4
colon	GCFC2	5.9
lung	GCFC2	7
pancreas	GCFC2	1.5
rectum	GCFC2	3.8
skin	GCFC2	17
bone marrow	WDR54	4.2
colon	WDR54	4.3
lung	WDR54	14.6
pancreas	WDR54	1.3
rectum	WDR54	4.4
skin	WDR54	4.5
bone marrow	CROT	2.1
colon	CROT	12.6
lung	CROT	9.9
pancreas	CROT	1.4
rectum	CROT	12.3
skin	CROT	29.4
bone marrow	ABCB4	0.6
colon	ABCB4	0.7
lung	ABCB4	0.3
pancreas	ABCB4	0
rectum	ABCB4	1.4
skin	ABCB4	1.9
bone marrow	KMT2E	42.9
colon	KMT2E	25.6
lung	KMT2E	38.6
pancreas	KMT2E	4.3
rectum	KMT2E	28.7
skin	KMT2E	31.5
bone marrow	RHBDD2	17.6
colon	RHBDD2	23.8
lung	RHBDD2	67.9
pancreas	RHBDD2	10.2
rectum	RHBDD2	18.9
skin	RHBDD2	34.7
bone marrow	SOX8	0
colon	SOX8	0.5
lung	SOX8	0.1
pancreas	SOX8	0.1
rectum	SOX8	0.6
skin	SOX8	0.4
bone marrow	IBTK	2.3
colon	IBTK	8.4
lung	IBTK	10.4
pancreas	IBTK	1.9
rectum	IBTK	11.3
skin	IBTK	4.1
bone marrow	ZNF195	8
colon	ZNF195	11.2
lung	ZNF195	13.9
pancreas	ZNF195	1.8
rectum	ZNF195	15.1
skin	ZNF195	11.7
bone marrow	MYCBP2	20.7
colon	MYCBP2	11.5
lung	MYCBP2	21.4
pancreas	MYCBP2	2.6
rectum	MYCBP2	14
skin	MYCBP2	82.7
bone marrow	FBXL3	43.3
colon	FBXL3	27.5
lung	FBXL3	44.8
pancreas	FBXL3	4.4
rectum	FBXL3	27.6
skin	FBXL3	36.4
bone marrow	ITGAL	26.7
colon	ITGAL	6.4
lung	ITGAL	34.6
pancreas	ITGAL	0.1
rectum	ITGAL	9.5
skin	ITGAL	2.4
bone marrow	PDK2	3.1
colon	PDK2	22.9
lung	PDK2	23
pancreas	PDK2	7.5
rectum	PDK2	23.3
skin	PDK2	22.1
bone marrow	ITGA3	0.2
colon	ITGA3	25.2
lung	ITGA3	99
pancreas	ITGA3	2.1
rectum	ITGA3	16.7
skin	ITGA3	36.3
bone marrow	ZFX	20.5
colon	ZFX	8.8
lung	ZFX	14.1
pancreas	ZFX	2.2
rectum	ZFX	7.6
skin	ZFX	11.6
bone marrow	LAMP2	55
colon	LAMP2	61.2
lung	LAMP2	126.4
pancreas	LAMP2	19.2
rectum	LAMP2	69.9
skin	LAMP2	107
bone marrow	ITGA2B	11.2
colon	ITGA2B	0.2
lung	ITGA2B	1.5
pancreas	ITGA2B	0
rectum	ITGA2B	0.2
skin	ITGA2B	0.1
bone marrow	ASB4	0.5
colon	ASB4	0.2
lung	ASB4	1
pancreas	ASB4	0.1
rectum	ASB4	0.1
skin	ASB4	0.6
bone marrow	GDE1	16.1
colon	GDE1	39.5
lung	GDE1	42
pancreas	GDE1	4.9
rectum	GDE1	44.1
skin	GDE1	27.8
bone marrow	C19orf60	4.3
colon	C19orf60	9
lung	C19orf60	7.5
pancreas	C19orf60	1.4
rectum	C19orf60	1.1
skin	C19orf60	4.6
bone marrow	CRLF1	0
colon	CRLF1	1.4
lung	CRLF1	2.6
pancreas	CRLF1	0.7
rectum	CRLF1	0.4
skin	CRLF1	9.8
bone marrow	OSBPL7	4.5
colon	OSBPL7	11.5
lung	OSBPL7	7.9
pancreas	OSBPL7	1.7
rectum	OSBPL7	9.5
skin	OSBPL7	1.3
bone marrow	TMEM98	2.7
colon	TMEM98	89.8
lung	TMEM98	87.9
pancreas	TMEM98	18.6
rectum	TMEM98	104.9
skin	TMEM98	21.1
bone marrow	YBX2	0.4
colon	YBX2	3.6
lung	YBX2	0.1
pancreas	YBX2	0
rectum	YBX2	0.9
skin	YBX2	0
bone marrow	KRT33A	0
colon	KRT33A	0
lung	KRT33A	0
pancreas	KRT33A	0
rectum	KRT33A	0
skin	KRT33A	0
bone marrow	MAP3K14	4.4
colon	MAP3K14	6
lung	MAP3K14	11.8
pancreas	MAP3K14	1.9
rectum	MAP3K14	6.4
skin	MAP3K14	11.7
bone marrow	ABCC8	0
colon	ABCC8	0.3
lung	ABCC8	0.4
pancreas	ABCC8	4.4
rectum	ABCC8	0.5
skin	ABCC8	0
bone marrow	CACNG3	0.1
colon	CACNG3	0
lung	CACNG3	0
pancreas	CACNG3	0
rectum	CACNG3	0
skin	CACNG3	0
bone marrow	TMEM132A	0.2
colon	TMEM132A	2.4
lung	TMEM132A	5.7
pancreas	TMEM132A	0.6
rectum	TMEM132A	1.2
skin	TMEM132A	1.1
bone marrow	AP2B1	31.3
colon	AP2B1	69.1
lung	AP2B1	81.7
pancreas	AP2B1	7
rectum	AP2B1	96.2
skin	AP2B1	28.7
bone marrow	TAC1	0
colon	TAC1	4.2
lung	TAC1	0
pancreas	TAC1	0.1
rectum	TAC1	3.4
skin	TAC1	1.3
bone marrow	ZNF263	11.6
colon	ZNF263	17.1
lung	ZNF263	29.3
pancreas	ZNF263	4.6
rectum	ZNF263	18.9
skin	ZNF263	26.1
bone marrow	CX3CL1	0
colon	CX3CL1	7.5
lung	CX3CL1	69.3
pancreas	CX3CL1	2.7
rectum	CX3CL1	5.9
skin	CX3CL1	8.7
bone marrow	SPATA20	1.9
colon	SPATA20	8.8
lung	SPATA20	7.6
pancreas	SPATA20	3.2
rectum	SPATA20	3.9
skin	SPATA20	7.2
bone marrow	CACNA1G	0.2
colon	CACNA1G	0.2
lung	CACNA1G	0.2
pancreas	CACNA1G	0
rectum	CACNA1G	0.1
skin	CACNA1G	1.8
bone marrow	TNFRSF12A	5
colon	TNFRSF12A	9.2
lung	TNFRSF12A	50
pancreas	TNFRSF12A	25.4
rectum	TNFRSF12A	5
skin	TNFRSF12A	6.2
bone marrow	DLX6	0.2
colon	DLX6	0
lung	DLX6	0
pancreas	DLX6	0
rectum	DLX6	0
skin	DLX6	0.6
bone marrow	MAP3K9	0.4
colon	MAP3K9	1.5
lung	MAP3K9	2.9
pancreas	MAP3K9	0.4
rectum	MAP3K9	1.6
skin	MAP3K9	4.8
bone marrow	RALA	4.5
colon	RALA	29.7
lung	RALA	60.3
pancreas	RALA	3.2
rectum	RALA	33.3
skin	RALA	30.8
bone marrow	BAIAP2L1	0.2
colon	BAIAP2L1	22.9
lung	BAIAP2L1	16.1
pancreas	BAIAP2L1	3.2
rectum	BAIAP2L1	23.5
skin	BAIAP2L1	23.8
bone marrow	KDM7A	10.5
colon	KDM7A	8.1
lung	KDM7A	6.9
pancreas	KDM7A	0.9
rectum	KDM7A	10
skin	KDM7A	5.3
bone marrow	ETV1	0.1
colon	ETV1	4
lung	ETV1	43.1
