cancer	hugo_symbol	gene_cls	wt_ach_000015	wt_ach_000021	wt_ach_000143	g12v_ach_000251	wt_ach_000261	g12c_ach_000311	wt_ach_000337	wt_ach_000390	wt_ach_000395	wt_ach_000416	wt_ach_000434	g12c_ach_000444	wt_ach_000448	wt_ach_000454	wt_ach_000481	g12c_ach_000496	g12c_ach_000511	g12c_ach_000521	wt_ach_000528	wt_ach_000585	wt_ach_000589	g12v_ach_000596	wt_ach_000627	g12v_ach_000638	g12v_ach_000662	wt_ach_000665	g12c_ach_000677	wt_ach_000700	wt_ach_000706	wt_ach_000747	wt_ach_000766	wt_ach_000769	wt_ach_000781	wt_ach_000785	wt_ach_000787	wt_ach_000837	wt_ach_000840	wt_ach_000843	wt_ach_000853	wt_ach_000858	g12c_ach_000861	wt_ach_000867	wt_ach_000869	wt_ach_000888	g12c_ach_000900	wt_ach_000901	wt_ach_000929	wt_ach_000975	wt_ach_001075
LUAD	VEGFD	1	0.154925421669	0.0819145921669	-0.0368334280413	0.870810293915	0.193131313901	0.0238739955101	-0.0609529211046	-0.0884709319688	-0.16388221544	0.0721043231128	0.12551526823	NA	0.0823052250665	NA	0.208120051336	-0.0417426668138	0.153201780675	-0.0196232665521	0.118529881455	0.136111151584	0.00435032949051	0.115751977307	0.203719083216	0.0984069848007	0.36056895462	0.00328346747174	0.0943189310758	0.17451327775	0.177018683612	0.0404716616667	0.155648789865	0.136263218905	0.221827332742	0.195597415506	0.0342952871196	NA	-0.0369590669797	-0.0134046916751	0.0882803126495	0.0708575123586	0.14437743119	0.185733723614	0.236528766395	0.185170573301	0.135482047504	NA	0.147596968829	-0.130891077277	-0.0769643588422
LUAD	VOPP1	1	-0.370031696124	-0.239865442166	-0.164989334644	0.218175043511	-0.223775981424	-0.104514352651	-0.125436197875	-0.445370256955	-0.249293126844	-0.46228750505	-0.192135526827	-0.280236217188	-0.203877571303	-0.65588506098	-0.372332121318	-0.0429431657248	-0.321658208058	-0.23565700074	-0.339850758248	-0.250812935465	-0.00822038621935	-0.302861416929	-0.100052753899	-0.331521006066	0.387238867837	-0.24524026705	-0.220729360244	-0.519314746678	-0.521118219725	-0.24453015073	-0.241528923203	-0.181877892818	-0.330803712052	-0.245831241043	-0.326659961417	-0.170690767773	-0.130033467344	-0.361101755909	-0.290227528955	-0.356167053967	-0.221580443134	-0.371062015192	-0.197564320571	-0.228597584811	-0.225276487463	-0.229570835643	-0.395726454082	-0.120770298326	-0.325603433945
LUAD	WDR13	1	0.128643948732	-0.191634998245	-0.0746045437306	0.127616459529	-0.0421029665656	-0.152447576515	0.00728423539631	0.0697924509917	-0.27001109303	-0.154303667902	-0.0261565144394	NA	-0.0733327573004	NA	-0.0573706888018	-0.209263672181	-0.0542749539665	-0.246326140846	-0.031362490577	0.100207119911	-0.111871083278	0.0117499011484	0.00677596514768	-0.182178708562	0.293742143198	-0.044037239847	-0.118233540885	-0.210217355519	-0.00818999560261	-0.0349223538696	-0.161374606592	-0.00157792126872	-0.125011172678	-0.0953303233993	0.110777482416	NA	-0.286096005577	-0.0655443020641	-0.00280185968982	0.0406673084878	-0.129856392881	-0.0381487437257	-0.0705574602429	-0.127969134799	-0.131368892928	NA	0.0617210218385	-0.0285345996134	-0.0477313904424
LUAD	ZFAND2A	1	0.42476789881	0.316636343391	0.314057194733	0.279096570174	0.237793572249	0.0354790407569	0.454996456756	0.299963926761	0.323496995091	0.388870996219	0.200245824659	0.201185007614	0.187556971727	0.254063565125	0.300560955888	0.0814478079725	0.318089765229	0.257025269025	0.39423155526	0.310532653274	0.21926218128	0.190147672308	0.263962459313	0.316582735851	0.617530107719	0.335184171752	0.30185047505	0.295484411834	0.26216153447	0.234337947878	0.251375937375	0.358780069006	0.2840131083	0.143713351637	0.38496596986	0.200046090566	0.461312880201	0.292889682927	0.256228179659	0.435975412417	0.0901357521267	0.372436902905	0.206996552958	0.227782431114	0.0378741678504	0.252289646821	0.315129774874	0.315912243512	0.56639471967
LUAD	ZFAND6	1	0.0979066079472	-0.0994885392771	-0.0594301263193	0.214517197696	-0.13393270977	-0.291134036337	0.118955456405	-0.0554685354467	0.203906193635	-0.0899753490789	0.205075533093	-0.0901489969629	-0.00101603181821	-0.148424996714	-0.054773684445	-0.262130046022	-0.0704216898579	-0.265740741521	-0.0866025736626	0.117310736546	-0.0250205896572	0.213924061014	0.00764388026457	0.0729950345236	0.606118436774	-0.0286419547887	0.00533132871713	-0.196399466747	-0.1631777481	-0.152436728704	-0.125940922365	-0.085942120224	-0.0363350896309	-0.0703946203774	0.0460993817713	0.0955608736683	0.0243718959738	0.0246107550194	-0.0470594962849	-0.0992340090172	-0.0444791182694	-0.0132310983659	-0.106495644829	0.0652396360552	0.0149804584639	0.0840171959109	0.0823612122101	0.00970783661991	-0.120151619582
LUAD	ZMYM4	1	-0.187474731267	-0.0269595007777	-0.126543955515	0.0604718128295	-0.0833001867684	-0.332611269538	-0.0298059154051	-0.0307868032219	-0.0670331370933	-0.0197382461797	-0.0860745303681	-0.114117749787	-0.242230844314	-0.22245379485	-0.0812715375614	-0.162568204781	-0.121311101375	-0.182879074975	-0.089223119401	-0.132533067366	-0.0350748017132	0.277548978393	-0.0728761385431	0.0346096941809	0.0907130746371	-0.209954830976	-0.0907442101134	0.492626501117	-0.18857559643	-0.156405253102	0.146701679905	0.064889796461	-0.0579169403572	-0.0761534380161	-0.0392963939868	-0.287909109245	0.359173274907	0.00658939163893	-0.13368386557	-0.0864114486795	-0.125674168629	-0.0361389574703	-0.195024175338	-0.0558524550146	-0.256615593481	-0.0669010570771	-0.0284951837147	-0.0820837588189	-0.329927174621
LUAD	ZNF12	1	-0.187573741614	-0.134336490829	-0.184427870574	0.0875821495968	-0.0677794231217	-0.168980154039	-0.427628981863	-0.127500409657	-0.455214325123	-0.250062479011	0.140131743705	-0.0556750763897	-0.244137683939	-0.122524541591	-0.0719895553149	-0.360284114996	-0.343484334863	-0.233906979249	-0.154401143232	-0.0847003176632	-0.0153650740091	0.231856382014	-0.084718697319	-0.0670330375913	0.332431439703	-0.130317448433	0.072985639969	0.355178091475	-0.0449376874804	-0.371050083741	-0.21008670015	-0.0946679776048	-0.247143930895	-0.300004978786	-0.114857423027	-0.212264952471	0.0235110145425	-0.136097435094	-0.183068754021	-0.114292443506	-0.155079445063	-0.0834048689395	-0.00169966852873	-0.199009033259	-0.372064667318	-0.135733284677	-0.382131152387	-0.0643328050747	-8.49608184864e-4
LUAD	ZNF169	1	-0.402174621032	-0.466605403791	-0.168312485952	-0.166543855926	-0.211207483529	-0.516384990781	-0.282516568974	-0.526888064902	-0.606300273635	-0.371711132218	-0.325980306424	-0.314779247151	-0.377661535413	-0.536744801125	-0.348626584077	-0.60685771593	-0.427040076456	-0.564685395204	-0.484943570379	-0.596825875564	-0.280208921432	-0.179627773609	-0.479560486111	-0.364924963925	0.170159114083	-0.277111445172	-0.246218554806	-0.670444275461	-0.202166650209	-0.259507407493	-0.260645151165	-0.471016193893	-0.36258474705	-0.310383689241	-0.391806995163	-0.287908726673	-0.321486308103	-0.199731065154	-0.508171594966	-0.31023424412	-0.463909363228	-0.289376286036	-0.287063736535	-0.533142466551	-0.477336613512	-0.329912577684	-0.424324146158	-0.271017489376	-0.53438736437
LUAD	ZNF202	1	0.0315633836665	0.139909456895	0.0356516512942	0.0890869446775	0.0755313108435	0.0272071643573	0.164213713793	0.110296939015	0.0847724586225	0.050943510749	0.0690068775175	0.150223615534	0.0533280174589	0.208697656584	0.0465171145505	0.0407804837066	0.173012042531	0.27326977686	0.151047259326	0.0858449434178	0.01696931665	0.0997968728883	0.144308594079	0.21613623771	0.398791515755	0.0629515993223	0.0988709740176	0.0466116034402	0.0573455053923	0.0736154058955	0.146663309509	0.143296229737	0.119684842194	0.040973113798	0.0854264412688	0.0758152765376	0.163639333937	-0.00299828294271	0.125924376594	0.22854920785400001	0.146196521258	0.0328009609657	0.152235465956	0.0382065541873	0.138716837968	0.11086451063	0.109856713811	0.068518629828	0.0390284475414
LUAD	ZNF449	1	-0.168599735003	-0.0823606231875	-0.156964168906	-0.0285557075787	-0.060854810361	-0.0793354800158	-0.202176581489	-0.0297020157748	-0.0440342250533	-0.104786751032	-0.184449968236	NA	-0.18437316591	NA	-0.132415157306	-0.106501710302	-0.0750675642781	-0.00772455307279	0.0486579920353	-0.198954663229	0.044485303884	-0.0660641189292	-0.099776142455	0.0247829333393	0.45545996874	-0.126813409263	-0.152833416455	-0.157577126175	-0.0353273120006	-0.0571475381301	-0.112860610471	-0.145738861249	-0.0805589086455	-0.0514166441888	-0.112783416522	NA	-0.133035816176	0.0482289665405	-0.083696137939	-0.110096076592	-0.100145416703	-0.100918203944	0.0784836025816	-0.0426625257339	0.0516344075151	NA	-0.0956213701737	-0.171701184835	-0.244734251239
