cancer	hugo_symbol	p_val	t_am	t_bm_ge	num_samples_per_cancer	num_mut_per_cancer	num_samples_per_cancer_allele	num_mut_per_cancer_allele
LUAD	NID1	5e-5	267	0	889	49	NA	0
LUAD	NIPBL	5e-5	261	0	889	43	NA	0
LUAD	NISCH	0.0067	245	67	889	19	NA	0
LUAD	NLGN1	0.0011	257	11	889	43	NA	0
LUAD	NLRP13	5e-5	263	0	889	53	NA	0
LUAD	NLRP4	0.0091	252	91	889	42	NA	0
LUAD	NOVA1	1e-4	254	1	889	28	NA	0
LUAD	NOX3	0.0028	248	28	889	24	NA	0
LUAD	NRAP	5e-5	259	0	889	43	NA	0
LUAD	NRXN1	0.0028	287	28	889	143	NA	0
LUAD	NSD1	2e-4	253	2	889	31	NA	0
LUAD	NTNG1	0.004	256	40	889	50	NA	0
LUAD	NTRK2	0.0092	248	92	889	30	NA	0
LUAD	NUMA1	0.0078	246	78	889	22	NA	0
LUAD	NUP153	0.0025	246	25	889	18	NA	0
LUAD	NUP210	1e-4	255	1	889	33	NA	0
LUAD	NYAP2	8e-4	247	8	889	19	NA	0
LUAD	NYNRIN	0.0014	250	14	889	26	NA	0
LUAD	OBSCN	0.0088	283	88	889	147	NA	0
LUAD	OLFM4	0.0049	251	49	889	35	NA	0
LUAD	OPN5	0.0062	245	62	889	19	NA	0
LUAD	OR10A5	0.0017	246	17	889	18	NA	0
LUAD	OR10G4	0.0073	246	73	889	22	NA	0
LUAD	OR10R2	0.0014	249	14	889	25	NA	0
LUAD	OR10T2	4e-4	248	4	889	20	NA	0
LUAD	OR14K1	0.0036	250	36	889	30	NA	0
LUAD	OR2A2	8e-4	252	8	889	30	NA	0
LUAD	OR2AK2	0.0068	251	68	889	37	NA	0
LUAD	OR2B11	3e-4	255	3	889	35	NA	0
LUAD	OR2G2	0.0049	255	49	889	47	NA	0
LUAD	OR2M2	1e-4	263	1	889	47	NA	0
LUAD	OR2M4	0.0057	252	57	889	38	NA	0
LUAD	OR2T1	0.0021	253	21	889	37	NA	0
LUAD	OR2T2	5e-5	260	0	889	34	NA	0
LUAD	OR2T27	7e-4	253	7	889	33	NA	0
LUAD	OR2T33	0.0039	256	39	889	52	NA	0
LUAD	OR2T34	0.0031	254	31	889	42	NA	0
LUAD	OR2T8	0.001	251	10	889	25	NA	0
LUAD	OR4A15	0.0025	261	25	889	61	NA	0
LUAD	OR4A16	0.0021	255	21	889	43	NA	0
LUAD	OR4C11	0.0038	246	38	889	20	NA	0
LUAD	OR4C6	2e-4	259	2	889	39	NA	0
LUAD	OR4D6	0.003	247	30	889	21	NA	0
LUAD	OR4K1	0.0075	250	75	889	34	NA	0
LUAD	OR4K2	0.0023	250	23	889	30	NA	0
LUAD	OR4K5	0.0011	251	11	889	29	NA	0
LUAD	OR4Q3	0.0015	256	15	889	40	NA	0
LUAD	OR51T1	0.0072	247	72	889	25	NA	0
LUAD	OR51V1	0.0052	251	52	889	35	NA	0
LUAD	OR52K1	0.0071	245	71	889	19	NA	0
LUAD	OR5AP2	0.0065	245	65	889	19	NA	0
LUAD	OR5B12	0.0095	247	95	889	27	NA	0
LUAD	OR5B17	4e-4	250	4	889	22	NA	0
LUAD	OR5D13	1e-4	258	1	889	42	NA	0
LUAD	OR5J2	0.0028	254	28	889	38	NA	0
LUAD	OR5L1	5e-5	260	0	889	46	NA	0
LUAD	OR6K2	3e-4	258	3	889	42	NA	0
