dep_map_id	hugo_symbol	entrez_id	gene_effect	cancer	kras_allele	kras_codon	kras_cn	is_deleted	is_mutated	rna_expression	rna_expression_std
ACH-000403	THSD7A	221981	0.0691348977838	COAD	G13D	13	2	FALSE	FALSE	0.83995958749	3.7814365838064683
ACH-000403	TMEM25	84866	0.00299620274958	COAD	G13D	13	2	FALSE	FALSE	2.00360223668	0.19759560846728857
ACH-000403	TSPAN8	7103	0.106094172259	COAD	G13D	13	2	FALSE	TRUE	6.07767027423	-0.3509636257832423
ACH-000467	ATP5PD	10476	-0.411354116928	COAD	G12V	12	2	FALSE	FALSE	8.28711209354	-0.7800898133005582
ACH-000467	DCHS1	8642	0.0232990285852	COAD	G12V	12	2	FALSE	FALSE	0.68706068834	0.66704602384472
ACH-000467	FAF2	23197	-0.478953816961	COAD	G12V	12	2	FALSE	FALSE	4.79337571126	0.1764852981321885
ACH-000467	GBA	2629	0.0894607381812	COAD	G12V	12	2	FALSE	FALSE	4.76288029292	-0.2116239151172672
ACH-000467	KNTC1	9735	-0.207118591843	COAD	G12V	12	2	FALSE	FALSE	3.79077203786	-1.710589889083647
ACH-000467	LIN7C	55327	-0.404446980379	COAD	G12V	12	2	FALSE	FALSE	3.63807383718	0.5038870448465368
ACH-000467	MTRF1L	54516	-0.67387582748	COAD	G12V	12	2	FALSE	FALSE	3.29278174923	-0.7018948623367544
ACH-000467	NECAP2	55707	-0.267750303452	COAD	G12V	12	2	FALSE	FALSE	4.60880924268	-0.4559879919598292
ACH-000467	OCEL1	79629	0.197638580145	COAD	G12V	12	2	FALSE	FALSE	2.84599177066	-0.8964768229030757
ACH-000467	ORC4	5000	-0.739601117497	COAD	G12V	12	2	FALSE	FALSE	4.67581593117	0.0035555607185190513
ACH-000467	PAX6	5080	0.0777189383028	COAD	G12V	12	2	FALSE	TRUE	0.298658315565	-0.7797187837642898
ACH-000467	PRMT7	54496	-0.177965819017	COAD	G12V	12	2	FALSE	FALSE	5.01925711868	-0.27727193358556684
ACH-000467	PSMB7	5695	-0.854615287813	COAD	G12V	12	2	FALSE	FALSE	7.42441826595	-1.0581177336479022
ACH-000467	RNASE6	6039	0.156291313261	COAD	G12V	12	2	FALSE	FALSE	1.7782085764	0.4929610444429774
ACH-000467	RPP25	54913	0.296996967848	COAD	G12V	12	2	FALSE	FALSE	4.22265002245	0.49764844731678465
ACH-000467	SERPING1	710	-0.131994052338	COAD	G12V	12	2	FALSE	FALSE	0.263034405834	-0.060371721370611524
ACH-000467	STARD9	57519	-0.0923773676956	COAD	G12V	12	2	FALSE	FALSE	2.7782085764	2.2504050865957077
ACH-000467	THSD7A	221981	0.0475066770992	COAD	G12V	12	2	FALSE	TRUE	0	-0.5687708298672233
ACH-000467	TMEM25	84866	0.06637259273	COAD	G12V	12	2	FALSE	FALSE	1.14404636962	-0.34200449140547823
ACH-000467	TSPAN8	7103	0.155455967412	COAD	G12V	12	2	FALSE	FALSE	9.96548128689	0.9321917488310133
ACH-000651	ATP5PD	10476	-0.338001922168	COAD	G12V	12	3.067188855179383	FALSE	FALSE	8.49821096944	-0.34373652828409684
ACH-000651	DCHS1	8642	-0.14657596714	COAD	G12V	12	3.067188855179383	FALSE	FALSE	0.389566811763	-0.01863447144758634
ACH-000651	FAF2	23197	-0.405153114084	COAD	G12V	12	3.067188855179383	FALSE	FALSE	4.79129314859	0.17206679006014008
ACH-000651	GBA	2629	0.0752326682896	COAD	G12V	12	3.067188855179383	FALSE	FALSE	4.6501901235	-0.39084980548004294
ACH-000651	KNTC1	9735	0.00500833732172	COAD	G12V	12	3.067188855179383	FALSE	FALSE	5.26491169307	0.24815411973890789
ACH-000651	LIN7C	55327	-0.135484776967	COAD	G12V	12	3.067188855179383	FALSE	FALSE	3.40463068422	0.04006197129938665
ACH-000651	MTRF1L	54516	-0.696303238343	COAD	G12V	12	3.067188855179383	FALSE	FALSE	4.15704371015	0.9441328243525499
ACH-000651	NECAP2	55707	-0.232677874506	COAD	G12V	12	3.067188855179383	FALSE	FALSE	5.04089243065	1.2496011244829615
ACH-000651	OCEL1	79629	0.12606907197	COAD	G12V	12	3.067188855179383	FALSE	FALSE	2.9107326619	-0.7853005200679657
ACH-000651	ORC4	5000	-0.79661516359	COAD	G12V	12	3.067188855179383	FALSE	FALSE	4.38059093427	-0.4452682330983243
